income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
282.0,635000.0,55000.0,9.95,False,False,False,False,False,False,True,0.0
96.0,275000.0,255000.0,5.5,False,False,False,False,False,True,False,0.0
96.0,375000.0,375000.0,6.175,False,False,False,False,False,True,False,0.0
56.0,245000.0,235000.0,6.25,False,False,False,False,False,False,True,0.0
54.0,165000.0,155000.0,7.0,False,False,False,False,False,False,True,0.0
69.0,305000.0,275000.0,7.5,False,False,False,False,False,False,True,10.0
140.0,405000.0,215000.0,5.25,False,False,False,False,False,True,False,0.0
37.0,135000.0,125000.0,6.5,False,False,False,False,False,False,True,0.0
114.0,465000.0,365000.0,6.05,False,False,False,False,False,False,True,0.0
85.0,395000.0,375000.0,6.375,False,False,False,False,False,False,True,0.0
69.0,185000.0,185000.0,5.625,False,False,False,False,False,False,True,0.0
96.0,295000.0,75000.0,6.625,False,False,False,False,False,True,False,0.0
